epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.9307356476783752,0.0010000000474974513,0.16758885979652405,0.5064643025398254,8.929474830627441
1,0.9852734208106995,0.0010000000474974513,0.043232083320617676,0.977515459060669,0.07042258232831955
2,0.991262674331665,0.0010000000474974513,0.025437818840146065,0.9853850603103638,0.04858666658401489
3,0.992319643497467,0.0010000000474974513,0.025380127131938934,0.9977515339851379,0.014075394719839096
4,0.995560884475708,0.0010000000474974513,0.015102565288543701,0.8544126152992249,0.6270598769187927
5,0.9946448802947998,0.0010000000474974513,0.016054494306445122,0.9696458578109741,0.08239443600177765
6,0.9950676560401917,0.0010000000474974513,0.015926316380500793,0.994940996170044,0.013811733573675156
7,0.9974633455276489,0.0010000000474974513,0.007941286079585552,0.9836987257003784,0.06142253428697586
8,0.9937993288040161,0.0010000000474974513,0.01683023013174534,0.9960651993751526,0.012452724389731884
9,0.9962655305862427,0.0010000000474974513,0.011102716438472271,0.9971894025802612,0.013948562555015087
10,0.9985907673835754,0.0010000000474974513,0.004326317925006151,0.9943788647651672,0.018490470945835114
